02	 02001	ABENGIBRE
02	 02002	ALATOZ
02	 02900	ALBACETE
02	 02004	ALBATANA
02	 02005	ALBOREA
02	 02006	ALCADOZO
02	 02007	ALCALA DEL JUCAR
02	 02008	ALCARAZ
02	 02009	ALMANSA
02	 02010	ALPERA
02	 02011	AYNA
02	 02012	BALAZOTE
02	 02013	BALSA DE VES
02	 02015	BARRAX
02	 02016	BIENSERVIDA
02	 02017	BOGARRA
02	 02018	BONETE
02	 02020	CARCELEN
02	 02021	CASAS DE JUAN NUÑEZ
02	 02022	CASAS DE LAZARO
02	 02023	CASAS DE VES
02	 02024	CASAS IBAÑEZ
02	 02025	CAUDETE
02	 02026	CENIZATE
02	 02029	CHINCHILLA DE MONTE ARAGON
02	 02027	CORRAL RUBIO
02	 02028	COTILLAS
02	 02014	EL BALLESTERO
02	 02019	EL BONILLO
02	 02030	ELCHE DE LA SIERRA
02	 02031	FEREZ
02	 02032	FUENSANTA
02	 02033	FUENTE ALAMO
02	 02034	FUENTEALBILLA
02	 02036	GOLOSALVO
02	 02037	HELLIN
02	 02039	HIGUERUELA
02	 02040	HOYA GONZALO
02	 02041	JORQUERA
02	 02035	LA GINETA
02	 02038	LA HERRERA
02	 02066	LA RECUEJA
02	 02069	LA RODA
02	 02042	LETUR
02	 02043	LEZUZA
02	 02044	LIETOR
02	 02045	MADRIGUERAS
02	 02046	MAHORA
02	 02047	MASEGOSO
02	 02048	MINAYA
02	 02049	MOLINICOS
02	 02050	MONTALVOS
02	 02051	MONTEALEGRE DEL CASTILLO
02	 02052	MOTILLEJA
02	 02053	MUNERA
02	 02054	NAVAS DE JORQUERA
02	 02055	NERPIO
02	 02056	ONTUR
02	 02057	OSSA DE MONTIEL
02	 02058	PATERNA DEL MADERA
02	 02060	PEÑAS DE SAN PEDRO
02	 02059	PEÑASCOSA
02	 02061	PETROLA
02	 02062	POVEDILLA
02	 02087	POZO CAÑADA
02	 02063	POZOHONDO
02	 02064	POZO LORENTE
02	 02065	POZUELO
02	 02067	RIOPAR
02	 02068	ROBLEDO
02	 02070	SALOBRE
02	 02071	SAN PEDRO
02	 02072	SOCOVOS
02	 02073	TARAZONA DE LA MANCHA
02	 02074	TOBARRA
02	 02075	VALDEGANGA
02	 02076	VIANOS
02	 02077	VILLA DE VES
02	 02078	VILLALGORDO DEL JUCAR
02	 02079	VILLAMALEA
02	 02080	VILLAPALACIOS
02	 02081	VILLARROBLEDO
02	 02082	VILLATOYA
02	 02083	VILLAVALIENTE
02	 02084	VILLAVERDE DE GUADALIMAR
02	 02085	VIVEROS
02	 02086	YESTE
03	 03002	AGOST
03	 03003	AGRES
03	 03004	AIGUES
03	 03005	ALBATERA
03	 03006	ALCALALI
03	 03007	ALCOCER DE PLANES
03	 03008	ALCOLEJA
03	 03009	ALCOY ALCOI
03	 03010	ALFAFARA
03	 03012	ALGORFA
03	 03013	ALGUEÑA
03	 03900	ALICANTE ALACANT
03	 03015	ALMORADI
03	 03016	ALMUDAINA
03	 03018	ALTEA
03	 03019	ASPE
03	 03020	BALONES
03	 03021	BANYERES DE MARIOLA
03	 03022	BENASAU
03	 03023	BENEIXAMA
03	 03024	BENEJUZAR
03	 03025	BENFERRI
03	 03026	BENIARBEIG
03	 03027	BENIARDA
03	 03028	BENIARRES
03	 03030	BENIDOLEIG
03	 03031	BENIDORM
03	 03032	BENIFALLIM
03	 03033	BENIFATO
03	 03029	BENIGEMBLA
03	 03034	BENIJOFAR
03	 03035	BENILLOBA
03	 03036	BENILLUP
03	 03037	BENIMANTELL
03	 03038	BENIMARFULL
03	 03039	BENIMASSOT
03	 03040	BENIMELI
03	 03041	BENISSA
03	 03042	BENITACHELL EL POBLE NOU DE BE
03	 03043	BIAR
03	 03044	BIGASTRO
03	 03045	BOLULLA
03	 03046	BUSOT
03	 03049	CALLOSA DE SEGURA
03	 03048	CALLOSA D EN SARRIA
03	 03047	CALP
03	 03051	CAMPO DE MIRRA EL CAMP DE MIRR
03	 03052	CAÑADA
03	 03053	CASTALLA
03	 03054	CASTELL DE CASTELLS
03	 03055	CATRAL
03	 03056	COCENTAINA
03	 03057	CONFRIDES
03	 03058	COX
03	 03059	CREVILLENT
03	 03061	DAYA NUEVA
03	 03062	DAYA VIEJA
03	 03063	DENIA
03	 03064	DOLORES
03	 03050	EL CAMPELLO
03	 03075	EL CASTELL DE GUADALEST
03	 03077	EL FONDO DE LES NEUS HONDON DE
03	 03105	EL PINOS   PINOSO
03	 03110	EL RAFOL D ALMUNIA
03	 03138	EL VERGER
03	 03065	ELCHE ELX
03	 03066	ELDA
03	 03126	ELS POBLETS
03	 03067	FACHECA
03	 03068	FAMORCA
03	 03069	FINESTRAT
03	 03070	FORMENTERA DEL SEGURA
03	 03072	GAIANES
03	 03071	GATA DE GORGOS
03	 03073	GORGA
03	 03074	GRANJA DE ROCAMORA
03	 03076	GUARDAMAR DEL SEGURA
03	 03078	HONDON DE LOS FRAILES
03	 03079	IBI
