02001	346319	Abengibre
02002	346318	Alatoz
02900	346317	Albacete
02004	346323	Albatana
02005	346322	Alborea
02006	345123	Alcadozo
02007	346320	Alcalá del Júcar
02008	346326	Alcaraz
02009	346325	Almansa
02010	342129	Alpera
02011	342130	Ayna
02012	342131	Balazote
02013	342132	Balsa de Ves
02015	342126	Barrax
02016	342127	Bienservida
02017	342128	Bogarra
02018	346022	Bonete
02020	346060	Carcelén
02021	346059	Casas de Juan Núñez
02022	346062	Casas de Lázaro
02023	346061	Casas de Ves
02024	346056	Casas-Ibáñez
02025	346055	Caudete
02026	346058	Cenizate
02029	342129	Alpera
02027	346057	Corral-Rubio
02028	346064	Cotillas
02014	346033	El Ballestero
02019	342122	El Bonillo
02030	341798	Elche de la Sierra
02031	341799	Férez
02032	341796	Fuensanta
02033	341797	Fuente-Álamo
02034	341794	Fuentealbilla
02036	341792	Golosalvo
02037	341793	Hellín
02039	344263	Higueruela
02040	339899	Hoya-Gonzalo
02041	341277	Jorquera
02035	342424	La Gineta
02038	341800	La Herrera
02066	346679	La Recueja
02069	346665	La Roda
02042	339889	Letur
02043	339882	Lezuza
02044	341118	Liétor
02045	346970	Madrigueras
02046	339872	Mahora
02047	339871	Masegoso
02048	346979	Minaya
02049	346977	Molinicos
02050	341167	Montalvos
02051	341168	Montealegre del Castillo
02052	340857	Motilleja
02053	340860	Munera
02054	340861	Navas de Jorquera
02055	342806	Nerpio
02056	340863	Ontur
02057	341262	Ossa de Montiel
02058	342809	Paterna del Madera
02061	346672	Pétrola
02060	346673	Peñas de San Pedro
02059	342810	Peñascosa
02062	346675	Povedilla
02087	342084	Pozo Cañada
02064	346677	Pozo-Lorente
02063	346946	Pozohondo
02065	346676	Pozuelo
02067	346678	Riópar
02068	346666	Robledo
02070	342483	Salobre
02071	347973	San Pedro
02072	342481	Socovos
02073	342482	Tarazona de la Mancha
02074	342487	Tobarra
02075	341788	Valdeganga
02076	342485	Vianos
02077	342486	Villa de Ves
02078	342479	Villalgordo del Júcar
02079	347959	Villamalea
02080	343799	Villapalacios
02081	347705	Villarrobledo
02082	343797	Villatoya
02083	343796	Villavaliente
02084	347711	Villaverde de Guadalimar
02085	343801	Viveros
02086	347709	Yeste
03002	347421	Agost
03003	347422	Agres
03004	347416	Aigües
03005	347417	Albatera
03006	347418	Alcalalí
03007	341981	Muro de Alcoy
03008	347423	Alcoleja
03009	347424	Alcoi / Alcoy
03010	340552	Alfafara
03012	342785	Algorfa
03013	342784	Algueña
03900	342792	Alacant / Alicante
03015	342790	Almoradí
03016	342789	Almudaina
03018	340528	Altea
03019	340523	Aspe
03020	346943	Balones
03021	346944	Banyeres de Mariola
03022	346941	Benasau
03023	346942	Beneixama
03024	346939	Benejúzar
03025	346940	Benferri
03026	339577	Beniarbeig
03027	339584	Beniardá
03028	339568	Beniarrés
03030	346265	Benidoleig
03031	341148	Benidorm
03032	342423	Benifallim
03033	342422	Benifato
03029	345448	Benigembla
03034	342417	Benijófar
03035	342416	Benilloba
03036	342419	Benillup
03037	342418	Benimantell
03038	347657	Benimarfull
03039	347656	Benimassot
03040	345267	Benimeli
03041	345268	Benissa
03042	345269	el Poble Nou de Benitatxell / Benitachell
03043	345272	Biar
03044	344417	Bigastro
03045	345282	Bolulla
03046	345284	Busot
03048	347946	Callosa d'en Sarrià
03049	347947	Callosa de Segura
03047	344437	Calp
03051	344405	el Camp de Mirra / Campo de Mirra
03053	344404	Castalla
03054	344403	Castell de Castells
03055	344400	Catral
03052	343409	Cañada
03056	344394	Cocentaina
03057	344392	Confrides
03058	343399	Cox
03059	343398	Crevillent
03061	347680	Daya Nueva
03062	347677	Daya Vieja
03063	347678	Dénia
03064	347683	Dolores
03050	340030	el Campello
